otu_id,lineage,CKG1,CKG2,CKG3,MPSG1,MPSG2,MPSG3
otu396,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Family_XIII._Incertae_Sedis;g__Bacilliculturomica;s__Bacilliculturomica_massiliensis,2641,1738,1518,463,752,443
otu397,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Unclassified;s__Lachnospiraceae_bacterium_OF09-33XD,1664,2873,1282,346,911,300
otu398,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium_ventriosum,1640,1793,1520,586,1045,745
otu399,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium_sp._CAG:273,633,1084,198,170,2631,193
otu401,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__Unclassified;s__Peptococcaceae_bacterium_DCMF,1846,2676,1273,293,1173,159
otu402,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides_chinchillae,357,1336,753,1179,1383,1197
otu403,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerotignum;s__Anaerotignum_lactatifermentans,2505,1038,1621,542,904,381
otu405,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella;s__Paraprevotella_clara,629,624,815,1030,1922,1214
otu406,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium_perfringens,989,1061,643,1131,598,3166
otu407,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_ruminicola,753,531,840,461,2712,794
otu408,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_sp._AL-1,920,438,799,814,1367,1407
otu409,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium_sp._CAG:307_30_263,3152,171,154,1245,106,952
